product_id,product_name,price
13978677,Gorgeous Linen Hat,55.24
53652978,Gorgeous Copper Lamp,9.79
80962802,Sleek Silk Shirt,91.3
62321888,Mediocre Cotton Computer,32.51
28295796,Practical Bronze Keyboard,53.61
17112237,Mediocre Wool Plate,95.06
96360006,Heavy Duty Aluminum Table,15.14
65060390,Mediocre Concrete Clock,8.42
77431523,Rustic Plastic Wallet,79.98
96355920,Heavy Duty Wooden Plate,30.01
35588016,Rustic Copper Gloves,51.13
60918729,Sleek Granite Wallet,42.14
60158715,Awesome Plastic Plate,42.02
40357019,Synergistic Steel Table,62.86
52412940,Awesome Bronze Car,68.8
25816959,Small Aluminum Hat,67.54
22263186,Heavy Duty Copper Pants,83.83
33355791,Ergonomic Silk Computer,46.32
81506480,Sleek Marble Shirt,87.75
57673035,Fantastic Aluminum Knife,58.42
34304261,Lightweight Wool Watch,88.26
83951150,Rustic Paper Clock,60.56
85263705,Durable Marble Computer,40.76
92518222,Enormous Granite Pants,4.99
76665122,Fantastic Plastic Bench,3.36
89838915,Ergonomic Cotton Gloves,66.37
24458589,Lightweight Plastic Lamp,28.72
10372749,Lightweight Aluminum Hat,59.1
28813070,Intelligent Concrete Car,63.6
93025814,Sleek Paper Hat,18.59
84961155,Mediocre Aluminum Watch,91.2
90122085,Ergonomic Copper Shirt,64.01
62327531,Fantastic Iron Pants,75.72
20150777,Heavy Duty Wool Computer,21.34
13907347,Ergonomic Granite Wallet,40.04
85728734,Ergonomic Silk Keyboard,77.17
76197908,Durable Paper Pants,32.45
58114378,Synergistic Granite Bag,74.8
66660872,Practical Linen Shirt,63.38
95717734,Incredible Aluminum Keyboard,71.4
52139171,Rustic Bronze Watch,22.68
49192503,Rustic Marble Computer,55.79
27834672,Awesome Rubber Wallet,58.48
50787093,Synergistic Bronze Car,76.23
58438896,Incredible Rubber Lamp,81.9
87666646,Aerodynamic Concrete Car,7.08
22600017,Awesome Silk Table,88.99
80453334,Rustic Cotton Table,72.31
81712167,Ergonomic Marble Knife,42.61
66544425,Ergonomic Wooden Car,63.62
65878875,Lightweight Concrete Computer,40.8
88964184,Heavy Duty Plastic Clock,52.33
81028358,Synergistic Copper Bottle,31.69
88511206,Rustic Concrete Hat,98.85
27590379,Incredible Copper Gloves,96.14
62202726,Rustic Plastic Table,18.24
37048960,Rustic Linen Plate,56.75
75329482,Ergonomic Plastic Table,2.96
22973892,Enormous Iron Knife,73.88
15403587,Synergistic Steel Shoes,47.88
67230813,Heavy Duty Paper Car,87.44
88069250,Aerodynamic Copper Table,37.8
35556411,Enormous Linen Shirt,6.41
90987924,Enormous Granite Gloves,62.68
62792658,Aerodynamic Silk Keyboard,60.96
64400994,Awesome Aluminum Chair,90.8
88758398,Small Wool Pants,74.68
15877222,Awesome Cotton Clock,34.34
26223220,Gorgeous Paper Watch,15.95
36297716,Heavy Duty Paper Plate,86.79
30452551,Incredible Granite Coat,85.21
25431510,Gorgeous Aluminum Shoes,70.31
68044839,Practical Concrete Bag,40.17
26297924,Aerodynamic Plastic Shirt,64.96
38513512,Awesome Granite Knife,70.95
53843949,Incredible Aluminum Shirt,13.03
59858068,Awesome Copper Plate,96.84
39237014,Rustic Marble Chair,7.54
34654812,Durable Aluminum Bag,21.07
85133011,Ergonomic Silk Pants,88.39
34174616,Small Silk Lamp,14.46
11001718,Synergistic Wooden Bench,72.89
82664323,Incredible Silk Watch,86.89
74908404,Gorgeous Linen Lamp,20.64
41347235,Durable Steel Chair,13.53
69711327,Awesome Bronze Chair,82.39
86195724,Durable Concrete Car,19.13
11347608,Gorgeous Leather Shoes,7.15
62352535,Durable Granite Table,31.03
25977551,Synergistic Concrete Lamp,12.67
83563028,Awesome Silk Bag,63.12
19589414,Lightweight Plastic Shoes,62.33
26736836,Fantastic Iron Watch,81.87
90821899,Practical Paper Computer,41.02
80533633,Ergonomic Wool Shirt,96.22
65348795,Aerodynamic Silk Computer,7.6
39198427,Small Wooden Car,95.95
66864212,Aerodynamic Marble Pants,36.7
59779881,Synergistic Wooden Hat,27.01
49636274,Sleek Granite Shirt,29.78
