user_id,product_id,quantity
4048327640,35588016,5
1473452356,82664323,21
3959493258,22600017,23
2922512803,36297716,4
4048327640,90122085,24
2557673171,53843949,1
7787748222,27590379,13
5254094127,35588016,6
8767585653,11001718,3
8578576738,57673035,15
3532728686,90122085,3
1360064677,60918729,11
4112523365,15877222,23
2922512803,80453334,24
2015771674,34304261,19
2794339760,65348795,9
4897781816,25977551,20
4052223803,17112237,2
7787748222,80962802,22
8939095192,35588016,21
5077212534,37048960,3
6814657381,20150777,18
2015771674,52139171,24
5363165219,65060390,6
1888171588,22973892,8
6788307937,53843949,20
3847459645,38513512,4
9341829851,58114378,18
6788307937,84961155,22
4811720488,22600017,1
7870856202,76665122,16
2992310851,58438896,19
1369349418,39198427,24
4720557630,39198427,15
6808982562,85263705,12
4701308596,49636274,15
2115985410,88069250,11
8019209104,88758398,2
7919919098,11001718,8
6918195008,88511206,8
2396030305,52139171,6
6947407954,27590379,5
9407838361,65878875,19
1659073756,62321888,9
2246527362,52139171,1
2297067046,10372749,4
5077212534,25977551,18
7364239360,60158715,6
3555861521,25816959,9
3279074337,89838915,2
4738276457,90987924,7
4691018822,39237014,15
7788277599,59779881,12
2297067046,35556411,4
4766859551,17112237,17
1822251208,67230813,23
9380233090,58114378,14
1886955329,88758398,7
4772773899,57673035,20
5972524518,84961155,25
7919919098,86195724,4
4691018822,65348795,5
1925738878,90122085,22
6578147665,39237014,22
1485918344,34654812,9
3867490861,62327531,13
5935874288,88511206,7
8844861843,41347235,25
1736842637,68044839,6
2496698975,92518222,5
3924428758,13907347,17
7309112428,82664323,20
1732030028,80962802,10
6595961862,65878875,22
2878305875,11001718,7
6938159014,93025814,18
8847916627,34174616,14
5849837472,82664323,5
9832812097,22973892,10
1535907462,22973892,3
6941852300,58438896,20
4725500241,52412940,14
9635665328,35588016,21
5277355082,90122085,25
5757028671,26736836,9
5925364459,81712167,19
1481536255,83951150,19
5254094127,92518222,3
8598520129,65878875,16
3019499022,50787093,24
2721573682,66544425,14
9350792960,62792658,11
1038914670,95717734,16
2781436871,88758398,17
7573193647,65060390,14
3898545437,62327531,17
3745824797,34654812,1
7297489414,65878875,22
3535789944,84961155,22
5641877567,67230813,17
1698652486,34174616,6
6409286265,62321888,8
3070159670,25816959,6
1441918391,96360006,13
2213631729,80533633,10
6526549412,34174616,17
9968284121,27834672,22
7635021456,26736836,8
8975856994,53843949,19
2557673171,58114378,16
7090108492,76197908,5
1786990962,11347608,19
9460313244,62321888,5
8385057190,85728734,21
5748042152,52412940,4
1886955329,85133011,15
5352120186,85133011,17
5343751430,90122085,20
5320999017,15877222,1
